X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
1578,1590,1208774,1208843,372,56,70,37930,77,125,1696,0,1,90,0.125,0.5507,0.1739,0.0071,0.2143,0.9857,1,2.5705,1.0792,1.8389,0.8261,-0.2034,0.9708,1,0,0,0,0,0,0
1595,1611,1594430,1594517,794,59,87,84410,62,127,1696,0,1,90,0.1002,0.4296,0.1839,0.0094,0.2712,1,1,2.8998,1.2041,1.9395,0.8161,-0.1694,0.9993,1,0,0,0,0,0,0
10,22,1678200,1678232,227,28,32,23706,77,127,1698,0,1,90,0.0118,0.4089,0.375,0.0071,0.4286,1,1,2.356,1.0792,1.5051,0.625,-0.1841,0.633,1,0,0,0,0,0,0
1593,1608,1724027,1724129,927,65,103,89508,68,127,1698,0,1,90,0.106,0.3941,0.1471,0.0088,0.2308,0.9903,1,2.9671,1.1761,2.0086,0.8529,-0.2456,0.9997,1,0,0,0,0,0,0
9,18,1743219,1743250,227,22,31,21864,74,126,1698,0,1,90,0.0106,0.1864,0.2903,0.0053,0.4091,1,1,2.356,0.9542,1.4914,0.7097,-0.2475,0.4613,1,0,0,0,0,0,0
1505,1514,1751260,1751304,271,35,45,28268,85,127,1700,0,1,90,0.2188,0.3157,0.2045,0.0053,0.2571,0.9778,1,2.433,0.9542,1.6435,0.7954,-0.1851,0.6514,1,0,0,0,0,0,0
1470,1488,1771553,1771642,771,50,89,76380,63,127,1698,0,1,90,0.2474,0.5187,0.2023,0.0106,0.36,1,1,2.887,1.2553,1.9494,0.7977,-0.2261,0.9998,1,0,0,0,0,0,0
1643,1656,1809470,1809524,471,37,54,43880,62,125,1698,0,1,90,0.0495,0.3291,0.2407,0.0077,0.3514,1,1,2.673,1.1139,1.7324,0.7593,-0.2722,0.9349,1,0,0,0,0,0,0
1555,1570,1823955,1823987,285,24,32,29895,81,126,1698,0,1,90,0.1508,0.4063,0.4688,0.0088,0.625,1,1,2.4548,1.1761,1.5051,0.5313,-0.1805,0.7659,1,0,0,0,0,0,0
923,931,1120157,1120180,120,17,23,12238,84,124,1688,1,0,70,0.8969,0.3478,0.3478,0.0047,0.4706,1,1,2.0792,0.9031,1.3617,0.6522,-0.2033,0.3125,1,0,0,0,0,0,0
1540,1558,1511165,1511591,4686,251,427,454421,30,133,1688,1,0,70,0.154,0.3889,0.0422,0.0107,0.0717,0.9977,1,3.6708,1.2553,2.6294,0.9578,-0.2424,1,1,0,0,0,0,0,0
1251,1256,458923,458941,70,15,18,8051,106,127,1356,0,1,40,0.1475,0.2222,0.2778,0.0037,0.3333,1,1,1.8451,0.699,1.2553,0.7222,-0.1015,0.1954,1,0,0,0,0,0,0
83,92,3528981,3529007,180,18,26,19118,80,127,1362,0,1,40,0.1219,0.2308,0.3462,0.0066,0.5,1,1,2.2553,0.9542,1.415,0.6539,-0.1702,0.3882,1,0,0,0,0,0,0
375,386,1063504,1063527,170,18,23,18052,79,127,1698,0,1,60,0.4417,0.3281,0.4783,0.0065,0.6111,1,1,2.2304,1.0414,1.3617,0.5217,-0.1704,0.4187,1,0,0,0,0,0,0
1136,1142,1421726,1421746,83,14,20,9917,110,134,1696,0,1,60,0.6533,0.3083,0.3,0.0035,0.4286,1,1,1.9191,0.7782,1.301,0.7,-0.0666,0.2288,1,0,0,0,0,0,0
451,465,2550845,2551201,2705,213,359,197957,28,126,1364,1,0,80,0.6613,0.4573,0.0393,0.0103,0.0657,0.9916,1,3.4322,1.1461,2.5515,0.9607,-0.4283,1,1,0,0,0,0,0,0
1331,1336,4270168,4270218,177,15,50,17388,65,126,1360,1,0,100,0.0353,0.292,0.1,0.0037,0.3333,1,1,2.248,0.699,1.699,0.9,-0.2325,0.4138,1,0,0,0,0,0,0
172,183,212157,212188,221,26,31,22508,66,125,1358,0,1,40,0.2533,0.3519,0.3548,0.0081,0.4231,1,1,2.3444,1.0414,1.4914,0.6452,-0.2043,0.5642,1,0,0,0,0,0,0
30,38,2277670,2277688,109,16,18,11573,89,126,1358,0,1,40,0.0442,0.2431,0.4444,0.0059,0.5,1,1,2.0374,0.9031,1.2553,0.5556,-0.1705,0.2583,1,0,0,0,0,0,0
389,399,5427410,5427424,104,14,14,11748,84,135,1362,0,1,40,0.5712,0.2571,0.7143,0.0073,0.7143,1,1,2.017,1,1.1461,0.2857,-0.1175,0.2532,1,0,0,0,0,0,0
450,466,11741476,11741833,3319,221,357,363821,37,133,1360,0,1,40,0.6618,0.4189,0.0448,0.0118,0.0724,1,1,3.521,1.2041,2.5527,0.9552,-0.1436,1,1,0,0,0,0,0,0
41,54,12577343,12577396,501,33,53,46520,49,127,1358,0,1,40,0.0604,0.2729,0.2453,0.0096,0.3939,1,1,2.6998,1.1139,1.7243,0.7547,-0.2746,0.9294,1,0,0,0,0,0,0
295,308,12725281,12725314,291,20,33,28711,68,126,1358,0,1,40,0.4345,0.3217,0.3939,0.0096,0.65,1,1,2.4639,1.1139,1.5185,0.6061,-0.2292,0.6995,1,0,0,0,0,0,0
268,279,12917033,12917094,444,43,61,45269,78,126,1360,0,1,40,0.3941,0.3383,0.1803,0.0081,0.2558,1,1,2.6474,1.0414,1.7853,0.8197,-0.2035,0.9212,1,0,0,0,0,0,0
62,74,12987661,12987692,258,27,31,26902,75,125,1360,0,1,40,0.0912,0.3065,0.3871,0.0088,0.4444,1,1,2.4116,1.0792,1.4914,0.6129,-0.1854,0.6142,1,0,0,0,0,0,0
18,26,471253,471281,168,24,28,20267,102,143,1360,1,0,70,0.0265,0.25,0.2857,0.0059,0.3333,1,1,2.2253,0.9031,1.4472,0.7143,-0.0575,0.3725,1,0,0,0,0,0,0
16,26,786881,786900,136,19,19,16571,99,143,1358,1,0,70,0.0236,0.2842,0.5263,0.0074,0.5263,1,1,2.1335,1,1.2787,0.4737,-0.0481,0.3212,1,0,0,0,0,0,0
19,28,808173,808199,119,26,26,14471,97,143,1358,1,0,70,0.028,0.4915,0.3462,0.0066,0.3462,1,1,2.0756,0.9542,1.415,0.6539,-0.05,0.3882,1,0,0,0,0,0,0
16,26,1377748,1377782,257,21,34,31058,91,151,1356,1,0,70,0.0236,0.2441,0.2941,0.0074,0.4762,1,1,2.4099,1,1.5315,0.7059,-0.0559,0.5626,1,0,0,0,0,0,0
14,23,1461247,1461302,265,47,56,34055,106,156,1358,1,0,70,0.0206,0.4647,0.1636,0.0066,0.1915,0.9821,1,2.4232,0.9542,1.7404,0.8364,0.004,0.7833,1,0,0,0,0,0,0
13,21,1488612,1488636,105,18,24,13943,120,150,1358,1,0,70,0.0192,0.4531,0.3333,0.0059,0.4444,1,1,2.0212,0.9031,1.3802,0.6667,0.0374,0.3241,1,0,0,0,0,0,0
15,24,1620686,1620708,154,20,22,19711,103,156,1358,1,0,70,0.0221,0.2222,0.4091,0.0066,0.45,1,1,2.1875,0.9542,1.3424,0.5909,0,0.3329,1,0,0,0,0,0,0
17,26,1651888,1651909,145,18,21,18695,101,156,1358,1,0,70,0.025,0.2328,0.4286,0.0066,0.5,1,1,2.1614,0.9542,1.3222,0.5714,0.0073,0.3197,1,0,0,0,0,0,0
1166,1185,2258648,2258662,123,33,17,15858,116,143,1708,1,0,100,0.6124,0.5376,0.7368,0.0111,0.5758,0.8235,0,2.0899,1.2787,1.1461,-0.2632,0.0072,0.4399,0,1,0,0,0,0,0
7,19,21512,21518,56,13,6,6632,108,132,1354,1,0,70,0.0103,0.2222,0.5,0.0089,0.9231,1,0,1.7482,1.0792,0.7782,-0.5,-0.0748,0.1773,0,1,0,0,0,0,0
37,53,50442,50467,226,33,31,25563,100,132,1354,1,0,70,0.0547,0.435,0.64,0.0118,0.4848,0.8065,1,2.3541,1.2041,1.3979,0.36,-0.1163,0.6574,0,1,0,0,0,0,0
39,51,66522,66578,436,41,56,39043,71,117,1354,1,0,70,0.0576,0.3512,0.2143,0.0089,0.2927,1,1,2.6395,1.0792,1.7482,0.7857,-0.3004,0.9216,0,1,0,0,0,0,0
193,205,82308,82319,84,19,11,9155,99,118,1354,1,0,70,0.2851,0.3636,0.9167,0.0089,0.6316,1,0,1.9243,1.0792,1.0414,-0.0833,-0.1485,0.2432,0,1,0,0,0,0,0
145,159,102099,102111,63,20,15,7752,109,140,1354,1,0,70,0.2142,0.625,0.8571,0.0103,0.7,0.8,0,1.7993,1.1461,1.0792,-0.1429,-0.0387,0.2901,0,1,0,0,0,0,0
39,60,118073,118242,1590,143,172,154035,80,116,1354,1,0,70,0.0576,0.552,0.1243,0.0155,0.1469,0.9826,1,3.2014,1.3222,2.2279,0.8757,-0.2431,1,0,1,0,0,0,0,0
141,182,133683,133829,2267,201,161,248809,96,127,1354,1,0,70,0.2083,0.6213,0.2808,0.0303,0.204,0.9068,1,3.3554,1.6128,2.1644,0.7192,-0.1426,1,0,1,0,0,0,0,0
68,103,149046,149092,521,90,54,62926,104,135,1354,1,0,70,0.1004,0.6764,0.7609,0.0258,0.3889,0.8518,1,2.7168,1.5441,1.6628,0.2391,-0.0564,0.9998,0,1,0,0,0,0,0
81,94,162885,162940,395,54,59,41476,92,127,1356,1,0,70,0.1195,0.4475,0.2364,0.0096,0.2407,0.9322,1,2.5966,1.1139,1.7404,0.7636,-0.1797,0.94,0,1,0,0,0,0,0
0,17,177337,177387,353,53,56,32335,79,118,1352,1,0,70,0,0.5847,0.34,0.0126,0.3207,0.8929,1,2.5478,1.2305,1.699,0.66,-0.2844,0.9747,0,1,0,0,0,0,0
94,106,190885,190920,205,33,36,22913,98,125,1354,1,0,70,0.1389,0.5119,0.3429,0.0089,0.3636,0.9722,1,2.3117,1.0792,1.5441,0.6571,-0.1268,0.6868,0,1,0,0,0,0,0
10,21,204933,204953,135,16,23,8781,46,86,1356,1,0,70,0.0148,0.3864,0.55,0.0081,0.6875,0.8696,1,2.1303,1.0414,1.301,0.45,-0.4918,0.3663,0,1,0,0,0,0,0
3,15,221100,221142,294,35,42,20642,47,95,1356,1,0,70,0.0044,0.4167,0.2857,0.0088,0.3429,1,1,2.4683,1.0792,1.6233,0.7143,-0.4515,0.7933,0,1,0,0,0,0,0
16,24,240377,240390,71,12,13,6820,86,110,1356,1,0,70,0.0236,0.3173,0.6154,0.0059,0.6667,1,1,1.8513,0.9031,1.1139,0.3846,-0.2496,0.2105,0,1,0,0,0,0,0
144,150,254652,254670,56,16,19,6593,109,126,1354,1,0,70,0.2127,0.4815,0.3333,0.0044,0.375,0.9474,1,1.7482,0.7782,1.2553,0.6667,-0.0802,0.215,0,1,0,0,0,0,0
30,39,274230,274244,54,17,15,5912,97,132,1354,1,0,70,0.0443,0.5714,0.6429,0.0066,0.5294,0.9333,1,1.7324,0.9542,1.1461,0.3571,-0.1447,0.2359,0,1,0,0,0,0,0
63,82,287835,287869,400,49,42,35427,78,101,1356,1,0,70,0.0929,0.3808,0.5588,0.014,0.3878,0.8095,1,2.6021,1.2787,1.5315,0.4412,-0.3081,0.9082,0,1,0,0,0,0,0
166,174,303149,303167,82,22,21,9467,105,127,1358,1,0,70,0.2445,0.4306,0.4444,0.0059,0.3636,0.8571,1,1.9138,0.9031,1.2553,0.5556,-0.098,0.2583,0,1,0,0,0,0,0
158,168,319303,319317,69,14,14,7659,98,125,1358,1,0,70,0.2327,0.5071,0.7143,0.0074,0.7143,1,1,1.8389,1,1.1461,0.2857,-0.1328,0.2532,0,1,0,0,0,0,0
174,194,334304,334316,114,38,21,13595,106,134,1354,1,0,70,0.257,0.525,0.6,0.0148,0.5263,0.5714,0,2.0569,1.301,1.0792,-0.4,-0.0683,0.3977,0,1,0,0,0,0,0
513,529,350481,350500,158,28,19,15719,89,111,1354,1,0,70,0.7577,0.4803,0.8421,0.0118,0.5714,1,1,2.1987,1.2041,1.2787,0.1579,-0.2228,0.5029,0,1,0,0,0,0,0
25,37,362724,362736,57,15,12,4557,70,93,1354,1,0,70,0.0369,0.6042,1,0.0089,0.8,1,0.5,1.7559,1.0792,1.0792,0,-0.3754,0.2583,0,1,0,0,0,0,0
9,18,374580,374591,74,15,11,4347,36,84,1356,1,0,70,0.0133,0.2525,0.8182,0.0066,0.6,1,1,1.8692,0.9542,1.0414,0.1818,-0.5411,0.2051,0,1,0,0,0,0,0
185,199,387402,387414,75,23,12,8535,104,127,1356,1,0,70,0.2729,0.5536,0.8571,0.0103,0.6087,1,0,1.8751,1.1461,1.0792,-0.1429,-0.1109,0.2901,0,1,0,0,0,0,0
134,156,411630,411717,787,94,94,85268,94,124,1356,1,0,70,0.1976,0.5888,0.2529,0.0162,0.234,0.9255,1,2.896,1.3424,1.9395,0.7471,-0.1535,1,0,1,0,0,0,0,0
81,216,425023,425176,5027,748,403,611544,93,143,1358,1,0,70,0.1193,0.7566,0.8824,0.0994,0.1805,0.3796,1,3.7013,2.1303,2.1847,0.1177,-0.0496,1,0,1,0,0,0,0,0
385,408,439180,439212,353,65,40,34230,84,111,1356,1,0,70,0.5678,0.5204,0.7188,0.017,0.3539,0.8,1,2.5478,1.3617,1.5051,0.2813,-0.2424,0.9474,0,1,0,0,0,0,0
34,42,451067,451079,59,13,12,5608,85,103,1354,1,0,70,0.0502,0.3854,0.6667,0.0059,0.6154,1,1,1.7708,0.9031,1.0792,0.3333,-0.2574,0.2018,0,1,0,0,0,0,0
1147,1160,463836,463848,74,19,13,8915,109,132,1354,1,0,70,0.2866,0.5256,0.9231,0.0096,0.6842,0.9231,0,1.8692,1.1139,1.0792,-0.0769,-0.0588,0.2739,0,1,0,0,0,0,0
260,272,477075,477082,55,12,7,6106,101,124,1356,1,0,70,0.3835,0.3452,0.5833,0.0088,1,1,0,1.7404,1.0792,0.8451,-0.4167,-0.1327,0.1892,0,1,0,0,0,0,0
1,16,494893,494946,397,50,56,21964,33,84,1354,1,0,70,0.0015,0.5006,0.283,0.0111,0.3,0.9464,1,2.5988,1.1761,1.7243,0.717,-0.5678,0.9639,0,1,0,0,0,0,0
225,244,506783,506794,123,28,16,13148,95,118,1356,1,0,70,0.3319,0.4115,0.5789,0.014,0.6786,0.6875,0,2.0899,1.2787,1.0414,-0.4211,-0.1649,0.3494,0,1,0,0,0,0,0
369,380,518261,518272,78,24,12,8388,95,119,1356,1,0,70,0.5443,0.3554,1,0.0081,0.4583,0.9167,0.5,1.8921,1.0414,1.0414,0,-0.1599,0.23,0,1,0,0,0,0,0
436,442,530968,530985,63,17,17,6374,90,116,1356,1,0,70,0.6431,0.3823,0.3529,0.0044,0.3529,1,1,1.7993,0.7782,1.2305,0.6471,-0.2096,0.2083,0,1,0,0,0,0,0
506,519,548929,548953,170,28,25,20000,105,126,1356,1,0,70,0.7463,0.4551,0.5417,0.0096,0.4643,0.96,1,2.2304,1.1139,1.3802,0.4583,-0.0809,0.5162,0,1,0,0,0,0,0
109,121,560425,560445,124,18,20,13549,97,124,1352,1,0,70,0.1612,0.4833,0.6,0.0089,0.6667,1,1,2.0934,1.0792,1.301,0.4,-0.1464,0.3977,0,1,0,0,0,0,0
49,71,573049,573118,884,106,98,83716,77,118,1356,1,0,70,0.0723,0.4177,0.3188,0.0162,0.2076,0.7041,1,2.9464,1.3424,1.8389,0.6812,-0.2601,0.9997,0,1,0,0,0,0,0
51,61,585861,585888,139,21,27,8233,40,78,1356,1,0,70,0.0752,0.4852,0.3704,0.0074,0.4762,1,1,2.143,1,1.4314,0.6296,-0.5373,0.4465,0,1,0,0,0,0,0
397,415,604478,604528,444,58,50,51661,97,134,1358,1,0,70,0.5847,0.5067,0.36,0.0132,0.3103,1,1,2.6474,1.2553,1.699,0.64,-0.091,0.9818,0,1,0,0,0,0,0
703,718,618132,618148,112,23,17,11154,87,111,1356,1,0,70,0.941,0.5333,0.9375,0.0111,0.6522,0.9412,1,2.0492,1.1761,1.2041,0.0625,-0.222,0.3977,0,1,0,0,0,0,0
405,416,634279,634288,71,15,10,8824,113,135,1358,1,0,70,0.5965,0.2828,0.8182,0.0081,0.7333,0.9,0,1.8513,1.0414,0.9542,-0.1818,-0.0291,0.2051,0,1,0,0,0,0,0
135,142,646729,646749,77,15,20,8235,97,124,1356,1,0,70,0.1991,0.45,0.35,0.0052,0.4667,1,1,1.8865,0.8451,1.301,0.65,-0.1645,0.2532,0,1,0,0,0,0,0
0,14,677297,677417,812,93,120,60260,51,93,1358,1,0,70,0,0.5167,0.1167,0.0103,0.1505,1,1,2.9096,1.1461,2.0792,0.8833,-0.4202,0.9999,0,1,0,0,0,0,0
10,42,697885,698089,2904,197,207,145129,22,86,1358,1,0,70,0.0147,0.5551,0.1569,0.0236,0.1624,0.9855,1,3.463,1.5051,2.3096,0.8431,-0.6096,1,0,1,0,0,0,0,0
10,32,718425,718521,964,106,103,53750,29,84,1356,1,0,70,0.0148,0.5436,0.2292,0.0162,0.2076,0.932,1,2.9841,1.3424,1.9823,0.7708,-0.5644,1,0,1,0,0,0,0,0
8,31,751592,751656,521,61,67,31515,43,78,1358,1,0,70,0.0118,0.6461,0.3594,0.0169,0.3771,0.9552,1,2.7168,1.3617,1.8062,0.6406,-0.5274,0.9996,0,1,0,0,0,0,0
216,250,763872,763947,938,117,94,110127,102,133,1356,1,0,70,0.3186,0.6322,0.4533,0.0251,0.2906,0.7979,1,2.9722,1.5315,1.8751,0.5467,-0.0828,1,0,1,0,0,0,0,0
34,139,776120,776424,4315,470,380,479002,82,148,1354,1,0,70,0.0502,0.8648,0.3454,0.0776,0.2234,0.8,1,3.635,2.0212,2.4829,0.6546,-0.1328,1,0,1,0,0,0,0,0
226,249,791161,791249,995,70,90,110993,95,133,1354,1,0,70,0.3338,0.5084,0.2614,0.017,0.3286,0.9778,1,2.9978,1.3617,1.9445,0.7386,-0.1285,1,0,1,0,0,0,0,0
174,194,802771,802822,585,101,56,63194,96,125,1352,1,0,70,0.2574,0.4265,0.3922,0.0148,0.198,0.9107,1,2.7672,1.301,1.7076,0.6078,-0.1561,0.9917,0,1,0,0,0,0,0
0,37,814236,814627,7292,466,536,608995,43,108,1352,1,0,70,0,0.496,0.0946,0.0274,0.0794,0.7295,1,3.8628,1.5682,2.5922,0.9054,-0.3475,1,0,1,0,0,0,0,0
2,27,830707,830795,1014,96,102,61231,40,79,1356,1,0,70,0.003,0.5391,0.2841,0.0184,0.2604,0.8627,1,3.006,1.3979,1.9445,0.7159,-0.5282,1,0,1,0,0,0,0,0
161,193,851460,851553,1784,90,99,202537,95,135,1354,1,0,70,0.2378,0.4005,0.3441,0.0236,0.3556,0.9394,1,3.2514,1.5051,1.9685,0.6559,-0.113,1,0,1,0,0,0,0,0
123,143,874488,874545,573,67,62,60005,90,126,1354,1,0,70,0.1817,0.4974,0.3509,0.0148,0.2985,0.9194,1,2.7582,1.301,1.7559,0.6491,-0.1819,0.9963,0,1,0,0,0,0,0
65,104,896899,897032,2875,202,161,316233,82,133,1352,1,0,70,0.0962,0.4457,0.2932,0.0289,0.1931,0.8261,1,3.4586,1.5911,2.1239,0.7068,-0.1407,1,0,1,0,0,0,0,0
27,56,908862,908986,2483,107,129,198389,44,101,1354,1,0,70,0.0399,0.3095,0.2339,0.0214,0.271,0.9612,1,3.395,1.4624,2.0934,0.7661,-0.3758,1,0,1,0,0,0,0,0
244,275,923170,923211,709,84,55,83627,105,132,1352,1,0,70,0.3609,0.4422,0.7561,0.0229,0.369,0.7455,1,2.8507,1.4914,1.6128,0.2439,-0.0785,0.9984,0,1,0,0,0,0,0
144,164,936743,936828,1148,85,94,121595,89,132,1354,1,0,70,0.2127,0.3247,0.2353,0.0148,0.2353,0.9043,1,3.0599,1.301,1.9294,0.7647,-0.1725,0.9999,0,1,0,0,0,0,0
138,184,949306,949493,3811,235,230,365943,78,124,1358,1,0,70,0.2032,0.557,0.246,0.0339,0.1957,0.813,1,3.581,1.6628,2.2718,0.754,-0.2498,1,0,1,0,0,0,0,0
66,92,961682,961728,613,95,77,63480,90,117,1356,1,0,70,0.0974,0.4875,0.5652,0.0192,0.2737,0.5974,1,2.7875,1.415,1.6628,0.4348,-0.191,0.9974,0,1,0,0,0,0,0
168,181,973635,973704,540,69,70,66181,110,135,1354,1,0,70,0.2482,0.398,0.1884,0.0096,0.1884,0.9857,1,2.7324,1.1139,1.8389,0.8116,-0.0425,0.9814,0,1,0,0,0,0,0
168,201,983776,983827,694,60,53,77691,94,127,1354,1,0,70,0.2482,0.5876,0.6471,0.0244,0.55,0.9623,1,2.8414,1.5185,1.7076,0.3529,-0.1254,0.9999,0,1,0,0,0,0,0
157,167,1009876,1009888,67,15,13,8477,113,140,1352,1,0,70,0.2323,0.4417,0.8333,0.0074,0.6667,0.9231,1,1.8261,1,1.0792,0.1667,-0.0115,0.2288,0,1,0,0,0,0,0
189,214,1025376,1025473,1348,98,100,126759,81,118,1356,1,0,70,0.2788,0.4441,0.2577,0.0184,0.2551,0.97,1,3.1297,1.3979,1.9868,0.7423,-0.2654,1,0,1,0,0,0,0,0
61,78,1036126,1036161,265,47,40,26694,86,116,1356,1,0,70,0.09,0.5546,0.4857,0.0125,0.3617,0.875,1,2.4232,1.2305,1.5441,0.5143,-0.213,0.8756,0,1,0,0,0,0,0
176,193,1048818,1048832,138,30,16,17295,114,141,1356,1,0,70,0.2596,0.4202,0.8235,0.0125,0.5667,0.875,0,2.1399,1.2305,1.1461,-0.1765,-0.0209,0.3945,0,1,0,0,0,0,0
141,154,1060291,1060313,109,25,22,12602,102,132,1356,1,0,70,0.208,0.6189,0.5909,0.0096,0.52,1,1,2.0374,1.1139,1.3424,0.4091,-0.0968,0.4729,0,1,0,0,0,0,0
172,179,1072228,1072248,74,19,20,8027,98,119,1354,1,0,70,0.2541,0.4714,0.35,0.0052,0.3684,1,1,1.8692,0.8451,1.301,0.65,-0.1525,0.2532,0,1,0,0,0,0,0
460,534,1082731,1082953,7579,591,431,917886,95,141,1356,1,0,70,0.6785,0.5386,0.3333,0.0546,0.1252,0.5151,1,3.8796,1.8692,2.3463,0.6667,-0.0538,1,0,1,0,0,0,0,0
137,156,1093477,1093492,184,31,15,19460,96,118,1354,1,0,70,0.2024,0.3544,0.7895,0.014,0.6129,1,0,2.2648,1.2787,1.1761,-0.2105,-0.1737,0.4713,0,1,0,0,0,0,0
14,32,1105359,1105387,252,55,36,19650,52,94,1356,1,0,70,0.0206,0.5,0.6429,0.0133,0.3273,0.7778,1,2.4014,1.2553,1.4472,0.3571,-0.3908,0.7933,0,1,0,0,0,0,0
212,222,1116878,1116892,62,14,14,6819,98,124,1354,1,0,70,0.3131,0.5571,0.7143,0.0074,0.7143,1,1,1.7924,1,1.1461,0.2857,-0.1408,0.2532,0,1,0,0,0,0,0
114,127,1127920,1127927,60,14,8,6685,102,124,1354,1,0,70,0.1684,0.3407,0.5385,0.0096,0.9286,0.875,0,1.7781,1.1139,0.8451,-0.4615,-0.1296,0.1965,0,1,0,0,0,0,0
242,252,1137747,1137757,55,20,14,6483,109,127,1354,1,0,70,0.3575,0.45,1,0.0074,0.5,0.7143,0.5,1.7404,1,1,0,-0.0791,0.2061,0,1,0,0,0,0,0
38,63,1148345,1148364,241,45,35,14875,42,85,1356,1,0,70,0.056,0.4926,0.76,0.0184,0.5556,0.5429,0,2.382,1.3979,1.2787,-0.24,-0.5178,0.7598,0,1,0,0,0,0,0
107,120,1159125,1159132,54,18,7,6135,102,124,1354,1,0,70,0.1581,0.4066,0.5385,0.0096,0.7222,1,0,1.7324,1.1139,0.8451,-0.4615,-0.1124,0.1965,0,1,0,0,0,0,0
119,127,1172603,1172632,128,22,30,15896,111,140,1356,1,0,70,0.1755,0.4483,0.2759,0.0059,0.3636,0.9667,1,2.1072,0.9031,1.4624,0.7241,-0.0298,0.385,0,1,0,0,0,0,0
1341,1347,1184511,1184525,51,17,14,4499,51,117,1358,1,0,70,0.0162,0.3929,0.4286,0.0044,0.3529,1,1,1.7076,0.7782,1.1461,0.5714,-0.3108,0.1892,0,1,0,0,0,0,0
75,82,1196901,1196915,61,12,14,5695,81,109,1354,1,0,70,0.1108,0.3776,0.5,0.0052,0.5833,1,1,1.7853,0.8451,1.1461,0.5,-0.2706,0.204,0,1,0,0,0,0,0
195,218,1211728,1211795,780,106,83,84461,96,126,1356,1,0,70,0.2876,0.4938,0.3433,0.017,0.217,0.8072,1,2.8921,1.3617,1.8261,0.6567,-0.154,0.9997,0,1,0,0,0,0,0
462,486,1226170,1226204,493,56,38,59901,105,141,1354,1,0,70,0.6824,0.3958,0.7059,0.0177,0.4286,0.8947,1,2.6929,1.3802,1.5315,0.2941,-0.0508,0.9685,0,1,0,0,0,0,0
603,612,1266537,1266548,65,10,12,6757,95,115,1358,1,0,70,0.8881,0.3434,0.8182,0.0066,0.9,0.9167,1,1.8129,0.9542,1.0414,0.1818,-0.1879,0.2051,0,1,0,0,0,0,0
220,234,1285730,1285749,138,28,21,14757,93,118,1358,1,0,70,0.324,0.4812,0.7368,0.0103,0.5,0.9048,1,2.1399,1.1461,1.2787,0.2632,-0.1646,0.4399,0,1,0,0,0,0,0
225,241,1301932,1301945,85,23,16,8566,93,111,1358,1,0,70,0.3314,0.5914,0.8125,0.0118,0.6956,0.8125,0,1.9294,1.2041,1.1139,-0.1875,-0.2127,0.3479,0,1,0,0,0,0,0
18,24,1312116,1312132,59,15,16,3095,41,71,1356,1,0,70,0.0266,0.3854,0.375,0.0044,0.4,1,1,1.7708,0.7782,1.2041,0.625,-0.5902,0.2018,0,1,0,0,0,0,0
294,308,1323717,1323745,222,25,29,25660,104,125,1358,1,0,70,0.433,0.4337,0.5,0.0103,0.56,0.9655,1,2.3463,1.1461,1.4472,0.5,-0.097,0.6453,0,1,0,0,0,0,0
79,95,1335585,1335593,73,20,11,8327,103,126,1356,1,0,70,0.1165,0.4297,0.5,0.0118,0.8,0.7273,0,1.8633,1.2041,0.9031,-0.5,-0.1088,0.2384,0,1,0,0,0,0,0
478,512,1346996,1347021,286,54,33,30518,95,125,1356,1,0,70,0.705,0.6635,0.7353,0.0251,0.6296,0.7576,0,2.4564,1.5315,1.3979,-0.2647,-0.1664,0.9747,0,1,0,0,0,0,0
65,80,1359784,1359820,390,30,36,38672,80,118,1358,1,0,70,0.0957,0.2778,0.4167,0.011,0.5,1,1,2.5911,1.1761,1.5563,0.5833,-0.2253,0.8299,0,1,0,0,0,0,0
165,176,1373431,1373442,52,17,13,5376,95,111,1358,1,0,70,0.243,0.5702,1,0.0081,0.6471,0.8461,0.5,1.716,1.0414,1.0414,0,-0.1923,0.23,0,1,0,0,0,0,0
135,146,1385900,1385914,98,23,14,9733,89,113,1360,1,0,70,0.1985,0.3636,0.7857,0.0081,0.4783,1,1,1.9912,1.0414,1.1461,0.2143,-0.2241,0.2712,0,1,0,0,0,0,0
85,96,1398904,1398914,61,12,11,6834,102,124,1358,1,0,70,0.1252,0.4455,0.9091,0.0081,0.9167,0.9091,0,1.7853,1.0414,1,-0.0909,-0.1247,0.2173,0,1,0,0,0,0,0
356,367,1411801,1411815,75,19,16,7384,89,109,1358,1,0,70,0.5243,0.513,0.7857,0.0081,0.5789,0.875,1,1.8751,1.0414,1.1461,0.2143,-0.2308,0.2712,0,1,0,0,0,0,0
49,71,1427809,1427883,705,76,76,63525,73,117,1358,1,0,70,0.0722,0.567,0.2973,0.0162,0.2895,0.9737,1,2.8482,1.3424,1.8692,0.7027,-0.296,0.9998,0,1,0,0,0,0,0
